Title,Artist,Year,Rank
Pop Champagne,Jim Jones & Ron Browz Featuring Juelz Santana,2009,98
Pretty Wings,Maxwell,2009,99
Low,Flo Rida Featuring T-Pain,2008,1
Bleeding Love,Leona Lewis,2008,2
No One,Alicia Keys,2008,3
Lollipop,Lil Wayne Featuring Static Major,2008,4
Apologize,Timbaland Featuring OneRepublic,2008,5
No Air,Jordin Sparks Duet With Chris Brown,2008,6
Love Song,Sara Bareilles,2008,7
Love In This Club,Usher Featuring Young Jeezy,2008,8
With You,Chris Brown,2008,9
Forever,Chris Brown,2008,10
Sexy Can I,Ray J & Yung Berg,2008,11
Take A Bow,Rihanna,2008,12
Viva La Vida,Coldplay,2008,13
I Kissed A Girl,Katy Perry,2008,14
Whatever You Like,T.I.,2008,15
Disturbia,Rihanna,2008,16
Don't Stop The Music,Rihanna,2008,17
Pocketful Of Sunshine,Natasha Bedingfield,2008,18
Kiss Kiss,Chris Brown Featuring T-Pain,2008,19
Closer,Ne-Yo,2008,20
Bubbly,Colbie Caillat,2008,21
Touch My Body,Mariah Carey,2008,22
4 Minutes,Madonna Featuring Justin Timberlake & Timbaland,2008,23
So What,P!nk,2008,24
Paralyzer,Finger Eleven,2008,25
Clumsy,Fergie,2008,26
I'm Yours,Jason Mraz,2008,27
Leavin',Jesse McCartney,2008,28
Dangerous,Kardinal Offishall Featuring Akon,2008,29
Tattoo,Jordin Sparks,2008,30
See You Again,Miley Cyrus,2008,31
Shake It,Metro Station,2008,32
Stop And Stare,OneRepublic,2008,33
Take You There,Sean Kingston,2008,34
Paper Planes,M.I.A.,2008,35
Hot N Cold,Katy Perry,2008,36
Live Your Life,T.I. Featuring Rihanna,2008,37
Bust It Baby Part 2,Plies Featuring Ne-Yo,2008,38
American Boy,Estelle Featuring Kanye West,2008,39
Got Money,Lil Wayne Featuring T-Pain,2008,40
Our Song,Taylor Swift,2008,41
Damaged,Danity Kane,2008,42
A Milli,Lil Wayne,2008,43
Sorry,Buckcherry,2008,44
Independent,Webbie Featuring Lil' Phat & Lil' Boosie,2008,45
Can't Believe It,T-Pain Featuring Lil Wayne,2008,46
Like You'll Never See Me Again,Alicia Keys,2008,47
Teardrops On My Guitar,Taylor Swift,2008,48
When I Grow Up,The Pussycat Dolls,2008,49
Sensual Seduction,Snoop Dogg,2008,50
What You Got,Colby O'Donis Featuring Akon,2008,51
It's Not My Time,3 Doors Down,2008,52
Better In Time,Leona Lewis,2008,53
Crank That (Soulja Boy),Soulja Boy Tell'em,2008,54
Shadow Of The Day,Linkin Park,2008,55
Sweetest Girl (Dollar Bill),"Wyclef Jean Featuring Akon, Lil Wayne & Niia",2008,56
Miss Independent,Ne-Yo,2008,57
Fall For You,Secondhand Serenade,2008,58
In The Ayer,Flo Rida Featuring will.i.am,2008,59
Say,John Mayer,2008,60
One Step At A Time,Jordin Sparks,2008,61
Hate That I Love You,Rihanna Featuring Ne-Yo,2008,62
Superstar,Lupe Fiasco Featuring Matthew Santos,2008,63
Suffocate,J. Holiday,2008,64
Let It Rock,Kevin Rudolf Featuring Lil Wayne,2008,65
Get Like Me,David Banner Featuring Chris Brown,2008,66
Realize,Colbie Caillat,2008,67
Put On,Young Jeezy Featuring Kanye West,2008,68
The Time Of My Life,David Cook,2008,69
Lolli Lolli (Pop That Body),"Three 6 Mafia Featuring Project Pat, Young D & Superpower",2008,70
Cyclone,Baby Bash Featuring T-Pain,2008,71
Love Like This,Natasha Bedingfield Featuring Sean Kingston,2008,72
Burnin' Up,Jonas Brothers,2008,73
Love Lockdown,Kanye West,2008,74
I Luv Your Girl,The-Dream,2008,75
Crush,David Archuleta,2008,76
Hypnotized,Plies Featuring Akon,2008,77
Big Girls Don't Cry,Fergie,2008,78
Good Life,Kanye West Featuring T-Pain,2008,79
Womanizer,Britney Spears,2008,80
Love Story,Taylor Swift,2008,81
Just Fine,Mary J. Blige,2008,82
Piece Of Me,Britney Spears,2008,83
The Boss,Rick Ross Featuring T-Pain,2008,84
All Summer Long,Kid Rock,2008,85
Can't Help But Wait,Trey Songz,2008,86
In Love With A Girl,Gavin DeGraw,2008,87
My Life,The Game Featuring Lil Wayne,2008,88
I Remember,Keyshia Cole,2008,89
Flashing Lights,Kanye West Featuring Dwele,2008,90
Mrs. Officer,Lil Wayne Featuring Bobby Valentino & Kidd Kidd,2008,91
7 Things,Miley Cyrus,2008,92
You're Gonna Miss This,Trace Adkins,2008,93
Love Remains The Same,Gavin Rossdale,2008,94
Feels Like Tonight,Daughtry,2008,95
The Way I Are,Timbaland Featuring Keri Hilson,2008,96
Addicted,Saving Abel,2008,97
Into The Night,Santana Featuring Chad Kroeger,2008,98
Heaven Sent,Keyshia Cole,2008,99
Irreplaceable,Beyonce,2007,1
Umbrella,Rihanna Featuring Jay-Z,2007,2
The Sweet Escape,Gwen Stefani Featuring Akon,2007,3
Big Girls Don't Cry,Fergie,2007,4
Buy U A Drank (Shawty Snappin'),T-Pain Featuring Yung Joc,2007,5
Before He Cheats,Carrie Underwood,2007,6
Hey There Delilah,Plain White T's,2007,7
I Wanna Love You,Akon Featuring Snoop Dogg,2007,8
Say It Right,Nelly Furtado,2007,9
Glamorous,Fergie Featuring Ludacris,2007,10
Don't Matter,Akon,2007,11
Girlfriend,Avril Lavigne,2007,12
Makes Me Wonder,Maroon 5,2007,13
Party Like A Rockstar,Shop Boyz,2007,14
Smack That,Akon Featuring Eminem,2007,15
This Is Why I'm Hot,Mims,2007,16
It's Not Over,Daughtry,2007,17
The Way I Are,Timbaland Featuring Keri Hilson,2007,18
Fergalicious,Fergie,2007,19
Crank That (Soulja Boy),Soulja Boy Tell'em,2007,20
Give It To Me,Timbaland Featuring Nelly Furtado & Justin Timberlake,2007,21
What Goes Around...Comes Around,Justin Timberlake,2007,22
Cupid's Chokehold/Breakfast In America,Gym Class Heroes Featuring Patrick Stump,2007,23
How To Save A Life,The Fray,2007,24
Home,Daughtry,2007,25
My Love,Justin Timberlake Featuring T.I.,2007,26
Stronger,Kanye West,2007,27
We Fly High,Jim Jones,2007,28
U + Ur Hand,P!nk,2007,29
Walk It Out,Unk,2007,30
Beautiful Girls,Sean Kingston,2007,31
"This Ain't A Scene, It's An Arms Race",Fall Out Boy,2007,32
Bartender,T-Pain Featuring Akon,2007,33
"Pop, Lock & Drop It",Huey,2007,34
Runaway Love,Ludacris Featuring Mary J. Blige,2007,35
Rockstar,Nickelback,2007,36
Thnks Fr Th Mmrs,Fall Out Boy,2007,37
What I've Done,Linkin Park,2007,38
Summer Love,Justin Timberlake,2007,39
You,Lloyd Featuring Lil Wayne,2007,40
Wait For You,Elliott Yamin,2007,41
Last Night,Diddy Featuring Keyshia Cole,2007,42
Make It Rain,Fat Joe Featuring Lil Wayne,2007,43
Make Me Better,Fabolous Featuring Ne-Yo,2007,44
Ice Box,Omarion,2007,45
Lips Of An Angel,Hinder,2007,46
Waiting On The World To Change,John Mayer,2007,47
Lost Without U,Robin Thicke,2007,48
I'm A Flirt,R. Kelly Or Bow Wow (Featuring T.I. & T-Pain),2007,49
If Everyone Cared,Nickelback,2007,50
Get It Shawty,Lloyd,2007,51
Face Down,The Red Jumpsuit Apparatus,2007,52
The Way I Live,Baby Boy Da Prince Featuring Lil Boosie,2007,53
Shortie Like Mine,Bow Wow Featuring Chris Brown & Johnta Austin,2007,54
It Ends Tonight,The All-American Rejects,2007,55
A Bay Bay,Hurricane Chris,2007,56
Because Of You,Ne-Yo,2007,57
I Tried,Bone Thugs-N-Harmony Featuring Akon,2007,58
Welcome To The Black Parade,My Chemical Romance,2007,59
Shawty,Plies Featuring T-Pain,2007,60
Chasing Cars,Snow Patrol,2007,61
Beautiful Liar,Beyonce & Shakira,2007,62
SexyBack,Justin Timberlake,2007,63
Keep Holding On,Avril Lavigne,2007,64
Let It Go,Keyshia Cole Featuring Missy Elliott & Lil Kim,2007,65
Apologize,Timbaland Featuring OneRepublic,2007,66
Bubbly,Colbie Caillat,2007,67
Like A Boy,Ciara,2007,68
Who Knew,P!nk,2007,69
Never Again,Kelly Clarkson,2007,70
Promise,Ciara,2007,71
Bed,J. Holiday,2007,72
Throw Some D's,Rich Boy Featuring Polow Da Don,2007,73
Rehab,Amy Winehouse,2007,74
Big Things Poppin' (Do It),T.I.,2007,75
No One,Alicia Keys,2007,76
The Great Escape,Boys Like Girls,2007,77
2 Step,Unk,2007,78
Walk Away (Remember Me),Paula DeAnda Featuring The DEY,2007,79
Go Getta,Young Jeezy Featuring R. Kelly,2007,80
Here (In Your Arms),Hellogoodbye,2007,81
On The Hotline,Pretty Ricky,2007,82
Wind It Up,Gwen Stefani,2007,83
Cyclone,Baby Bash Featuring T-Pain,2007,84
Break It Off,Rihanna & Sean Paul,2007,85
First Time,Lifehouse,2007,86
Ayo Technology,50 Cent Featuring Justin Timberlake & Timbaland,2007,87
Outta My System,Bow Wow Featuring T-Pain & Johnta Austin,2007,88
Teardrops On My Guitar,Taylor Swift,2007,89
Shut Up And Drive,Rihanna,2007,90
Snow ((Hey Oh)),Red Hot Chili Peppers,2007,91
Money Maker,Ludacris Featuring Pharrell,2007,92
Kiss Kiss,Chris Brown Featuring T-Pain,2007,93
Far Away,Nickelback,2007,94
Rock Yo Hips,Crime Mob Featuring Lil Scrappy,2007,95
LoveStoned,Justin Timberlake,2007,96
Better Than Me,Hinder,2007,97
Paralyzer,Finger Eleven,2007,98
That's That,Snoop Dogg Featuring R. Kelly,2007,99
Bad Day,Daniel Powter,2006,1
Temperature,Sean Paul,2006,2
Promiscuous,Nelly Furtado Featuring Timbaland,2006,3
You're Beautiful,James Blunt,2006,4
Hips Don't Lie,Shakira Featuring Wyclef Jean,2006,5
Unwritten,Natasha Bedingfield,2006,6
Crazy,Gnarls Barkley,2006,7
Ridin',Chamillionaire Featuring Krayzie Bone,2006,8
SexyBack,Justin Timberlake,2006,9
Check On It,Beyonce Featuring Slim Thug,2006,10
Be Without You,Mary J. Blige,2006,11
Grillz,"Nelly Featuring Paul Wall, Ali & Gipp",2006,12
Over My Head (Cable Car),The Fray,2006,13
Me & U,Cassie,2006,14
Buttons,The Pussycat Dolls Featuring Snoop Dogg,2006,15
Run It!,Chris Brown,2006,16
So Sick,Ne-Yo,2006,17
It's Goin' Down,Yung Joc,2006,18
SOS,Rihanna,2006,19
I Write Sins Not Tragedies,Panic! At The Disco,2006,20
Move Along,The All-American Rejects,2006,21
London Bridge,Fergie,2006,22
Dani California,Red Hot Chili Peppers,2006,23
Snap Yo Fingers,Lil Jon Featuring E-40 & Sean Paul Of The YoungBloodZ,2006,24
"Lean Wit It, Rock Wit It",Dem Franchize Boyz Featuring Lil Peanut & Charlay,2006,25
What Hurts The Most,Rascal Flatts,2006,26
How To Save A Life,The Fray,2006,27
Unfaithful,Rihanna,2006,28
Chasing Cars,Snow Patrol,2006,29
Lips Of An Angel,Hinder,2006,30
Everytime We Touch,Cascada,2006,31
Ain't No Other Man,Christina Aguilera,2006,32
"Dance, Dance",Fall Out Boy,2006,33
Gold Digger,Kanye West Featuring Jamie Foxx,2006,34
Money Maker,Ludacris Featuring Pharrell,2006,35
Ms. New Booty,Bubba Sparxxx Featuring Ying Yang Twins & Mr. ColliPark,2006,36
(When You Gonna) Give It Up To Me,Sean Paul Featuring Keyshia Cole,2006,37
Photograph,Nickelback,2006,38
Because Of You,Kelly Clarkson,2006,39
Stickwitu,The Pussycat Dolls,2006,40
I'm N Luv (Wit A Stripper),T-Pain Featuring Mike Jones,2006,41
My Humps,The Black Eyed Peas,2006,42
Where'd You Go,Fort Minor Featuring Holly Brook,2006,43
Yo (Excuse Me Miss),Chris Brown,2006,44
Walk Away,Kelly Clarkson,2006,45
Laffy Taffy,D4L,2006,46
What You Know,T.I.,2006,47
Dirty Little Secret,The All-American Rejects,2006,48
Savin' Me,Nickelback,2006,49
Don't Forget About Us,Mariah Carey,2006,50
Sexy Love,Ne-Yo,2006,51
U And Dat,E-40 Featuring T-Pain & Kandi Girl,2006,52
Far Away,Nickelback,2006,53
What's Left Of Me,Nick Lachey,2006,54
So What,Field Mob Featuring Ciara,2006,55
Do It To It,Cherish Featuring Sean Paul Of The YoungBloodZ,2006,56
Black Horse & The Cherry Tree,KT Tunstall,2006,57
There It Go! (The Whistle Song),Juelz Santana,2006,58
Shoulder Lean,Young Dro Featuring T.I.,2006,59
Unpredictable,Jamie Foxx Featuring Ludacris,2006,60
My Love,Justin Timberlake Featuring T.I.,2006,61
Shake That,Eminem Featuring Nate Dogg,2006,62
Pullin' Me Back,Chingy Featuring Tyrese,2006,63
Bossy,Kelis Featuring Too $hort,2006,64
Chain Hang Low,Jibbs,2006,65
Smack That,Akon Featuring Eminem,2006,66
One Wish,Ray J,2006,67
"Sugar, We're Goin' Down",Fall Out Boy,2006,68
Gimme That,Chris Brown Featuring Lil Wayne,2006,69
I Know You See It,Yung Joc Featuring Brandy 'Ms. B.' Hambrick,2006,70
Who Says You Can't Go Home,Bon Jovi,2006,71
Too Little Too Late,JoJo,2006,72
Touch It,Busta Rhymes,2006,73
Rompe,Daddy Yankee,2006,74
Deja Vu,Beyonce Featuring Jay Z,2006,75
Life Is A Highway,Rascal Flatts,2006,76
Call Me When You're Sober,Evanescence,2006,77
"Jesus, Take The Wheel",Carrie Underwood,2006,78
Show Stopper,Danity Kane,2006,79
Get Up,Ciara Featuring Chamillionaire,2006,80
We Be Burnin',Sean Paul,2006,81
Hate Me,Blue October,2006,82
You And Me,Lifehouse,2006,83
Beep,The Pussycat Dolls Featuring will.i.am,2006,84
I Think They Like Me,"Dem Franchize Boyz Featuring Jermaine Dupri, Da Brat & Bow Wow",2006,85
Say Goodbye,Chris Brown,2006,86
Waiting On The World To Change,John Mayer,2006,87
Soul Survivor,Young Jeezy Featuring Akon,2006,88
Pump It,The Black Eyed Peas,2006,89
When I'm Gone,Eminem,2006,90
Hung Up,Madonna,2006,91
Stay Fly,Three 6 Mafia Featuring Young Buck & Eightball & MJG,2006,92
Love,Keyshia Cole,2006,93
When You're Mad,Ne-Yo,2006,94
Why You Wanna,T.I.,2006,95
Stupid Girls,P!nk,2006,96
Feel Good Inc,Gorillaz,2006,97
I'm Sprung,T-Pain,2006,98
Do I Make You Proud,Taylor Hicks,2006,99
